iter	Passed	Remaining
0	81	81602
1	82	41087
2	82	27568
3	83	20799
4	84	16743
5	84	14036
6	85	12097
7	85	10638
8	86	9508
9	86	8611
10	87	7871
11	88	7253
12	88	6750
13	89	6312
14	90	5924
15	90	5582
16	91	5286
17	92	5020
18	92	4779
19	93	4564
20	93	4368
21	94	4194
22	94	4035
23	95	3887
24	96	3753
25	96	3625
26	97	3507
27	97	3398
28	98	3295
29	98	3199
30	99	3112
31	100	3030
32	100	2951
33	101	2880
34	102	2813
35	102	2748
36	103	2686
37	103	2630
38	104	2574
39	105	2522
40	105	2472
41	106	2423
42	106	2377
43	107	2334
44	108	2293
45	108	2260
46	109	2221
47	110	2184
48	110	2149
49	111	2114
50	111	2082
51	112	2051
52	113	2021
53	113	1992
54	114	1965
55	115	1939
56	115	1916
57	116	1892
58	117	1868
59	117	1844
60	118	1822
61	118	1799
62	119	1778
63	120	1759
64	120	1740
65	121	1720
66	122	1701
67	122	1679
68	123	1661
69	123	1644
70	124	1627
71	124	1610
72	125	1593
73	126	1576
74	126	1560
75	127	1545
76	127	1531
77	128	1517
78	128	1503
79	129	1490
80	130	1476
81	130	1462
82	131	1449
83	131	1437
84	132	1422
85	132	1411
86	133	1398
87	133	1387
88	134	1377
89	135	1367
90	135	1356
91	136	1345
92	136	1334
93	137	1324
94	137	1314
95	138	1303
96	139	1294
97	139	1285
98	140	1277
99	140	1268
100	141	1259
101	141	1248
102	142	1240
103	142	1231
104	143	1223
105	144	1215
106	144	1207
107	145	1199
108	145	1191
109	146	1184
110	146	1176
111	147	1169
112	148	1163
113	148	1157
114	149	1150
115	150	1143
116	150	1136
117	151	1130
118	151	1122
119	152	1117
120	152	1111
121	153	1105
122	154	1098
123	154	1092
124	155	1086
125	155	1080
126	156	1075
127	156	1068
128	157	1063
129	158	1059
130	158	1054
131	159	1049
132	160	1044
133	160	1039
134	161	1034
135	162	1029
136	162	1024
137	163	1018
138	163	1013
139	164	1008
140	164	1003
141	165	998
142	165	993
143	166	989
144	167	985
145	167	981
146	168	976
147	168	971
148	169	967
149	170	963
150	170	959
151	171	955
152	171	951
153	172	946
154	172	942
155	173	939
156	174	935
157	174	931
158	175	927
159	175	922
160	176	919
161	176	915
162	177	912
163	178	908
164	178	904
165	179	900
166	179	897
167	180	893
168	181	890
169	181	886
170	182	882
171	182	879
172	183	875
173	183	872
174	184	868
175	184	865
176	185	861
177	185	858
178	186	855
179	187	852
180	187	848
181	188	845
182	188	842
183	189	839
184	189	836
185	190	833
186	190	830
187	191	827
188	192	824
189	192	821
190	193	819
191	194	816
